Domain,TLD,Source_Count,Sources
hcare.hof,hof,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511075007_default_212.12.183.242_ad.exchange.mail_879993.txt
erkan.sarigul,sarigul,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103855_default_46.30.176.85_ad.exchange.mail_796067.txt
kumar.praveen,praveen,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528085858_default_3.35.110.181_ad.exchange.mail_716037.txt
abed.jamal,jamal,3,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510091126_default_212.98.140.116_ad.exchange.mail_817178.txt|Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510085918_default_212.98.140.119_ad.exchange.mail_252554.txt|Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511020241_default_212.98.140.116_ad.exchange.mail_160312.txt
www.middleeastforum,middleeastforum,1,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Image_Documents/77jpg_analysis.md
ayse.turgut,turgut,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103500_default_85.111.43.100_ad.exchange.mail_333724.txt
a.alhomed,alhomed,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511073003_default_77.240.93.43_ad.exchange.mail_665198.txt
login.html,html,1,Malwares and Logs/ameen-alkhalij.com.log
ameen.ind.sales,sales,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511153325_default_212.12.169.12_ad.exchange.mail_543681.txt
adel.itawi,itawi,3,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510091126_default_212.98.140.116_ad.exchange.mail_817178.txt|Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510085918_default_212.98.140.119_ad.exchange.mail_252554.txt|Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511020241_default_212.98.140.116_ad.exchange.mail_160312.txt
nawal.mawla,mawla,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511022252_default_89.17.124.130_ad.exchange.mail_259424.txt
abdurrahman.unlu,unlu,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509102834_default_212.175.105.121_ad.exchange.mail_139913.txt
youngtae.kim,kim,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528035936_default_1.235.185.175_ad.exchange.mail_644119.txt
env.example,example,1,Malwares and Logs/ameen-alkhalij.com.log
goksal.hacihasanoglu,hacihasanoglu,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103855_default_46.30.176.85_ad.exchange.mail_796067.txt
getinfo.do,do,1,Malwares and Logs/ameen-alkhalij.com.log
arzu.korucu,korucu,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103855_default_46.30.176.85_ad.exchange.mail_796067.txt
abbas.rzayev,rzayev,2,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509095256_default_89.147.201.146_ad.exchange.mail_288590.txt|Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509100603_default_89.147.201.146_ad.exchange.mail_883805.txt
alanoud.alshaiq,alshaiq,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511053201_default_212.12.178.178_ad.exchange.mail_084629.txt
mari.php,php,1,Malwares and Logs/ameen-alkhalij.com.log
abbas.alnakhli,alnakhli,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511081050_default_86.51.167.167_ad.exchange.mail_336958.txt
ahmet.sirin,sirin,2,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510025101_default_91.93.60.19_ad.exchange.mail_714410.txt|Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510023853_default_91.93.60.19_ad.exchange.mail_346834.txt
damla.yuce,yuce,2,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103315_default_95.0.22.150_ad.exchange.mail_545296.txt|Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510020055_default_95.0.22.150_ad.exchange.mail_062149.txt
erek.cagatay,cagatay,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509090817_default_212.175.168.58_ad.exchange.mail_153067.txt
arif.kocayavas,kocayavas,2,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510025101_default_91.93.60.19_ad.exchange.mail_714410.txt|Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510023853_default_91.93.60.19_ad.exchange.mail_346834.txt
bizportal.co.il,il,2,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Ivanti/analysis_pages_0006-0010.md|Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Ivanti سند بررسی و تلاش برای اخذ دسترسی با استفاده از اسیب پذیریpdf/analysis_pages_0009-0010.md
abha.branch,branch,2,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511062016_default_85.184.233.219_ad.exchange.mail_340863.txt|Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511073715_default_85.184.233.203_ad.exchange.mail_245488.txt
seoktea.hong,hong,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528035936_default_1.235.185.175_ad.exchange.mail_644119.txt
emirhan.guzelyurt,guzelyurt,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509101220_default_78.188.48.174_ad.exchange.mail_104680.txt
configjs.js,js,1,Malwares and Logs/ameen-alkhalij.com.log
ke.kang,kang,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528053436_default_121.134.12.29_ad.exchange.mail_573404.txt
webmail.cirrus-me.com,com,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/Result_1.csv
altan.aydemir,aydemir,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103855_default_46.30.176.85_ad.exchange.mail_796067.txt
s.fileno,fileno,1,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Ivanti سند بررسی و تلاش برای اخذ دسترسی با استفاده از اسیب پذیریpdf/analysis_pages_0047-0048.md
kermanshahmetric.co.ir,ir,1,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Ivanti/analysis_pages_0036-0040.md
a.abas,abas,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511073003_default_77.240.93.43_ad.exchange.mail_665198.txt
abdulaziz.alhassar,alhassar,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511081050_default_86.51.167.167_ad.exchange.mail_336958.txt
menu.jsa,jsa,1,Malwares and Logs/access.log
selcuk.sahinturk,sahinturk,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510023930_default_85.105.162.211_ad.exchange.mail_395092.txt
abdulaziz.alawi,alawi,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510092026_default_194.126.2.223_ad.exchange.mail_419326.txt
abdullah.jumaah,jumaah,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510092026_default_194.126.2.223_ad.exchange.mail_419326.txt
indice.aspx,aspx,1,Malwares and Logs/access.log
dr.asmaa,asmaa,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511053336_default_213.236.56.117_ad.exchange.mail_691453.txt
goat.php,php,1,Malwares and Logs/ameen-alkhalij.com.log
deniz.satilmis,satilmis,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103855_default_46.30.176.85_ad.exchange.mail_796067.txt
d.dasdemir,dasdemir,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509095927_default_212.156.77.214_ad.exchange.mail_939687.txt
mahi.guenes,guenes,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510015839_default_78.188.166.184_ad.exchange.mail_661161.txt
foodreams.co.kr,kr,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528060718_default_183.111.79.206_ad.exchange.mail_468563.txt
c.cakmak,cakmak,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509095927_default_212.156.77.214_ad.exchange.mail_939687.txt
nair.nimesh,nimesh,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528085858_default_3.35.110.181_ad.exchange.mail_716037.txt
heyan.shi,shi,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528083215_default_211.58.43.200_ad.exchange.mail_188966.txt
mail.alrashidabetong.com,com,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/SA_Proxyshell_target.txt
initjs.php,php,1,Malwares and Logs/ameen-alkhalij.com.log
aaa.php,php,1,Malwares and Logs/ameen-alkhalij.com.log
umurgrup.onmicrosoft.com,com,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510015731_default_213.14.25.197_ad.exchange.mail_304247.txt
beytullahfurkan.cennetoglu,cennetoglu,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103500_default_85.111.43.100_ad.exchange.mail_333724.txt
owa.fnb.com.lb,lb,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/Result_1.csv
mail.izicenter.ir,ir,1,Malwares and Logs/All_Proxy_Shell_Targets/Iran/IR_Proxyshell_target2.txt
ay-1.html,html,1,Malwares and Logs/ameen-alkhalij.com.log
sp.kang,kang,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528053436_default_121.134.12.29_ad.exchange.mail_573404.txt
abbas.noralla,noralla,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511081050_default_86.51.167.167_ad.exchange.mail_336958.txt
abdulaziz.alzahrani,alzahrani,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511081050_default_86.51.167.167_ad.exchange.mail_336958.txt
autodiscover.globecastme.com,com,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/Result_1.csv
abdelazim.almalik,almalik,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511081050_default_86.51.167.167_ad.exchange.mail_336958.txt
ambalajaday.urunleri,urunleri,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510015731_default_213.14.25.197_ad.exchange.mail_304247.txt
inicio.cgi,cgi,1,Malwares and Logs/access.log
abdullah.sayar,sayar,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509102834_default_212.175.105.121_ad.exchange.mail_139913.txt
yilmaz.abdullah,abdullah,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509102834_default_212.175.105.121_ad.exchange.mail_139913.txt
webmail.commercialinsurance.com.lb,lb,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/Result_1.csv
mail.lycbeirut.com,com,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/Result_1.csv
pawar.vinod,vinod,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528085858_default_3.35.110.181_ad.exchange.mail_716037.txt
aline.abdo,abdo,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511023727_default_195.112.201.67_ad.exchange.mail_385722.txt
burak.dilki,dilki,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510022249_default_95.0.240.217_ad.exchange.mail_821413.txt
burhan.kiremitci,kiremitci,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103500_default_85.111.43.100_ad.exchange.mail_333724.txt
ns.kim,kim,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528053436_default_121.134.12.29_ad.exchange.mail_573404.txt
mail.rabani.com,com,1,Malwares and Logs/All_Proxy_Shell_Targets/Iran/IR_Proxyshell_target2.txt
icanhazip.com,com,1,Malwares and Logs/access.log
chulhwan.hwang,hwang,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528035936_default_1.235.185.175_ad.exchange.mail_644119.txt
mail.moim.gov.lb,lb,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/Result_1.csv
menu.jhtml,jhtml,1,Malwares and Logs/access.log
cve-2021-22893-rce.yaml,yaml,1,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Ivanti سند بررسی و تلاش برای اخذ دسترسی با استفاده از اسیب پذیریpdf/analysis_pages_0039-0040.md
gs.kim,kim,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528053436_default_121.134.12.29_ad.exchange.mail_573404.txt
email.co.il,il,1,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Ivanti سند بررسی و تلاش برای اخذ دسترسی با استفاده از اسیب پذیریpdf/analysis_pages_0035-0036.md
mail.bmn.ir,ir,1,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Ivanti/analysis_pages_0036-0040.md
abderrahman.maza,maza,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510092026_default_194.126.2.223_ad.exchange.mail_419326.txt
koray.duman,duman,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509102716_default_185.42.172.246_ad.exchange.mail_765512.txt
hamayesh-israel.ir,ir,1,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Image_Documents/4f54c260c73b154e431e1b829d6676563393c88d_9060777jpg_analysis.md
ulak.neutecin.com,com,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/TR_Exchange_target.txt
ajax.js,js,2,Malwares and Logs/ameen-alkhalij.com.log|Malwares and Logs/access.log
eliz.usanmaz,usanmaz,2,Malwares and Logs/173c6a542c2046c38d2cb863239eff0566a8a9c0_mfa.tr.txt|Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509090817_default_212.175.168.58_ad.exchange.mail_153067.txt
gokhan.karakus,karakus,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510022249_default_95.0.240.217_ad.exchange.mail_821413.txt
openbase.co.kr,kr,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528060718_default_183.111.79.206_ad.exchange.mail_468563.txt
e.eldayeh,eldayeh,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511013829_default_89.108.156.18_ad.exchange.mail_407557.txt
main.js,js,1,Malwares and Logs/ameen-alkhalij.com.log
abdullah.kara,kara,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509102834_default_212.175.105.121_ad.exchange.mail_139913.txt
abuzer.izci,izci,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509102834_default_212.175.105.121_ad.exchange.mail_139913.txt
d.sholy,sholy,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511023842_default_185.125.149.35_ad.exchange.mail_029838.txt
home.shtml,shtml,1,Malwares and Logs/access.log
asuman.musaoglu,musaoglu,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510015731_default_213.14.25.197_ad.exchange.mail_304247.txt
alsayed.ibrahim,ibrahim,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511153325_default_212.12.169.12_ad.exchange.mail_543681.txt
ahmad.zein,zein,3,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510091126_default_212.98.140.116_ad.exchange.mail_817178.txt|Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510085918_default_212.98.140.119_ad.exchange.mail_252554.txt|Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511020241_default_212.98.140.116_ad.exchange.mail_160312.txt
esma.eroglu,eroglu,2,Malwares and Logs/173c6a542c2046c38d2cb863239eff0566a8a9c0_mfa.tr.txt|Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509090817_default_212.175.168.58_ad.exchange.mail_153067.txt
steliebtina.edu.lb,lb,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510090452_default_193.227.165.69_ad.exchange.mail_560593.txt
ali.noura,noura,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511013858_default_185.3.22.28_ad.exchange.mail_486453.txt
webmail.hdf.usj.edu.lb,lb,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/Result_1.csv
sql-hint.js,js,1,Malwares and Logs/access.log
guyyang.lee,lee,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528035936_default_1.235.185.175_ad.exchange.mail_644119.txt
i.php,php,1,Malwares and Logs/ameen-alkhalij.com.log
ali.baidoun,baidoun,3,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510091126_default_212.98.140.116_ad.exchange.mail_817178.txt|Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510085918_default_212.98.140.119_ad.exchange.mail_252554.txt|Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511020241_default_212.98.140.116_ad.exchange.mail_160312.txt
elias.rustom,rustom,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511023727_default_195.112.201.67_ad.exchange.mail_385722.txt
atectn.co.kr,kr,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528060718_default_183.111.79.206_ad.exchange.mail_468563.txt
almoumany.ind.sales,sales,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511153325_default_212.12.169.12_ad.exchange.mail_543681.txt
batuhan.demirci,demirci,2,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510025101_default_91.93.60.19_ad.exchange.mail_714410.txt|Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510023853_default_91.93.60.19_ad.exchange.mail_346834.txt
core.js,js,1,Malwares and Logs/ameen-alkhalij.com.log
feeder.co,co,1,Malwares and Logs/ameen-alkhalij.com.log
hanadi.karam,karam,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511020316_default_195.112.212.187_ad.exchange.mail_460335.txt
busra.isbilir,isbilir,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103500_default_85.111.43.100_ad.exchange.mail_333724.txt
ahmet.erdemli,erdemli,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510015731_default_213.14.25.197_ad.exchange.mail_304247.txt
jr.choi,choi,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528053436_default_121.134.12.29_ad.exchange.mail_573404.txt
sinteklogistics.com,com,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509095927_default_212.156.77.214_ad.exchange.mail_939687.txt
n.saliba,saliba,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511013829_default_89.108.156.18_ad.exchange.mail_407557.txt
ali.horuzoglu,horuzoglu,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510015731_default_213.14.25.197_ad.exchange.mail_304247.txt
alper.erten,erten,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509101256_default_92.45.15.114_ad.exchange.mail_954868.txt
indice.jsa,jsa,1,Malwares and Logs/access.log
epe.ir,ir,1,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/2d5b8da0d0719e6f8212497d7e34d5f1b1fa6776_All_target_report_20220508pdf/analysis_pages_0001-0002.md
abdulrab.ali,ali,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511081050_default_86.51.167.167_ad.exchange.mail_336958.txt
ragip.ozkan,ozkan,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510022249_default_95.0.240.217_ad.exchange.mail_821413.txt
index.pl,pl,1,Malwares and Logs/access.log
ys.php,php,1,Malwares and Logs/ameen-alkhalij.com.log
mah.php,php,1,Malwares and Logs/ameen-alkhalij.com.log
main.jsp,jsp,1,Malwares and Logs/access.log
abdulrahman.alqarni,alqarni,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511053201_default_212.12.178.178_ad.exchange.mail_084629.txt
goktasiberia.com,com,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509102716_default_185.42.172.246_ad.exchange.mail_765512.txt
byeungjun.ahn,ahn,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528035936_default_1.235.185.175_ad.exchange.mail_644119.txt
mizban-wd.online,online,1,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Ivanti سند بررسی و تلاش برای اخذ دسترسی با استفاده از اسیب پذیریpdf/analysis_pages_0035-0036.md
e.aziz,aziz,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511013829_default_89.108.156.18_ad.exchange.mail_407557.txt
wp-include.php,php,1,Malwares and Logs/ameen-alkhalij.com.log
anastasiya.bolshakova,bolshakova,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509095415_default_89.147.205.100_ad.exchange.mail_981251.txt
pinfo.php,php,1,Malwares and Logs/ameen-alkhalij.com.log
outlook.kr,kr,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528053212_default_117.52.68.1_ad.exchange.mail_805316.txt
chat-config.js,js,1,Malwares and Logs/ameen-alkhalij.com.log
menu.shtml,shtml,1,Malwares and Logs/access.log
sorin.co.kr,kr,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528060718_default_183.111.79.206_ad.exchange.mail_468563.txt
kktcbe.org.tr,tr,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509090817_default_212.175.168.58_ad.exchange.mail_153067.txt
cemre.hakverdioglu,hakverdioglu,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103855_default_46.30.176.85_ad.exchange.mail_796067.txt
umit.eyigun,eyigun,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510024322_default_185.132.125.83_ad.exchange.mail_153004.txt
daum.net,net,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528060718_default_183.111.79.206_ad.exchange.mail_468563.txt
mario.perez,perez,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528083215_default_211.58.43.200_ad.exchange.mail_188966.txt
arzu.yalcinkaya,yalcinkaya,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103500_default_85.111.43.100_ad.exchange.mail_333724.txt
g-405.php,php,1,Malwares and Logs/ameen-alkhalij.com.log
wsrv-edge-a.mom.ir,ir,1,Malwares and Logs/All_Proxy_Shell_Targets/Iran/IR_Proxyshell_target2.txt
adib.hajjar,hajjar,3,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510091126_default_212.98.140.116_ad.exchange.mail_817178.txt|Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510085918_default_212.98.140.119_ad.exchange.mail_252554.txt|Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511020241_default_212.98.140.116_ad.exchange.mail_160312.txt
list.query,query,1,Malwares and Logs/access.log
abdalla.fares,fares,3,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510091126_default_212.98.140.116_ad.exchange.mail_817178.txt|Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510085918_default_212.98.140.119_ad.exchange.mail_252554.txt|Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511020241_default_212.98.140.116_ad.exchange.mail_160312.txt
mx02.koutcloud.com,com,1,Malwares and Logs/All_Proxy_Shell_Targets/kuwait/KW_proxyshell_target.txt
m.abdelhamid,abdelhamid,2,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511062016_default_85.184.233.219_ad.exchange.mail_340863.txt|Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511073715_default_85.184.233.203_ad.exchange.mail_245488.txt
boyteks.satinalma,satinalma,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509101256_default_92.45.15.114_ad.exchange.mail_954868.txt
umur.com.tr,tr,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510015731_default_213.14.25.197_ad.exchange.mail_304247.txt
mail.mentorarabia.org,org,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/Result_1.csv
fofa.info,info,3,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Ivanti سند بررسی و تلاش برای اخذ دسترسی با استفاده از اسیب پذیریpdf/analysis_pages_0025-0026.md|Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/_گزارش عملکرد ماهانه بهمن ماه_REDACTEDpdf/analysis_pages_0003-0003.md|Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/گزارش عملکرد ماهانه بهمن ماه کوروشpdf/analysis_pages_0003-0003.md
joomla.xml,xml,1,Malwares and Logs/access.log
noahsark.com.tr,tr,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103855_default_46.30.176.85_ad.exchange.mail_796067.txt
demet.ucarsari,ucarsari,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509102716_default_185.42.172.246_ad.exchange.mail_765512.txt
murat.soysal,soysal,1,Malwares and Logs/173c6a542c2046c38d2cb863239eff0566a8a9c0_mfa.tr.txt
headoffice.local,local,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511013829_default_89.108.156.18_ad.exchange.mail_407557.txt
atiye.sasmaz,sasmaz,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103500_default_85.111.43.100_ad.exchange.mail_333724.txt
ahmad.aldahham,aldahham,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511053201_default_212.12.178.178_ad.exchange.mail_084629.txt
ayhan.firat,firat,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510022249_default_95.0.240.217_ad.exchange.mail_821413.txt
glass.php,php,1,Malwares and Logs/ameen-alkhalij.com.log
ali.lakiss,lakiss,3,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510091126_default_212.98.140.116_ad.exchange.mail_817178.txt|Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510085918_default_212.98.140.119_ad.exchange.mail_252554.txt|Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511020241_default_212.98.140.116_ad.exchange.mail_160312.txt
aljayusse.auto.sales,sales,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511153325_default_212.12.169.12_ad.exchange.mail_543681.txt
bb.com.tr,tr,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509102716_default_185.42.172.246_ad.exchange.mail_765512.txt
bhayani.sneh,sneh,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528085858_default_3.35.110.181_ad.exchange.mail_716037.txt
aleynamiyese.akpolat,akpolat,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103500_default_85.111.43.100_ad.exchange.mail_333724.txt
ymprompt.css,css,1,Malwares and Logs/ameen-alkhalij.com.log
abdulhamit.akca,akca,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509102834_default_212.175.105.121_ad.exchange.mail_139913.txt
alicumhur.tunca,tunca,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510015731_default_213.14.25.197_ad.exchange.mail_304247.txt
ebru.kirtas,kirtas,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510024517_default_176.236.220.38_ad.exchange.mail_699805.txt
mail.azimkhodro.com,com,1,Malwares and Logs/All_Proxy_Shell_Targets/Iran/IR_Proxyshell_target2.txt
mail.telekish.ir,ir,1,Malwares and Logs/All_Proxy_Shell_Targets/Iran/IR_Proxyshell_target2.txt
ayse.ozturk,ozturk,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103500_default_85.111.43.100_ad.exchange.mail_333724.txt
ayhan.doldur,doldur,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510015731_default_213.14.25.197_ad.exchange.mail_304247.txt
mail.almanahospital.com.sa,sa,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/SA_Proxyshell_target.txt
a.aljoufi,aljoufi,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511073003_default_77.240.93.43_ad.exchange.mail_665198.txt
adfs.kfe.re.kr,kr,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
mail.rodman.ir,ir,1,Malwares and Logs/All_Proxy_Shell_Targets/Iran/IR_Proxyshell_target2.txt
